category,mean,median,std,min,max,count
Product Queries,9187.764705882353,1999.0,16246.59903460341,1.0,66408.0,17
Shopzilla Related,13655.75,1182.0,16908.00743613884,24.0,48990.0,20
Others,3511.4074074074074,685.0,7677.307191473498,65.0,32999.0,27
Payments related,10459.938775510203,1469.0,13820.978422625274,1.0,52999.0,49
Offers & Cashback,15289.237288135593,7999.0,20172.990502272896,8.0,99999.0,59
Feedback,4059.9888475836433,499.0,11466.593612749593,9.0,127999.0,538
Cancellation,8195.593516209476,1198.0,15251.404146874283,9.0,109990.0,802
Refund Related,6342.692636986301,837.0,12751.039217108693,0.0,117999.0,1168
Order Related,7824.723424570338,999.0,15521.558707582375,1.0,164999.0,6284
Returns,3655.011890317884,949.0,9527.242859616203,1.0,159990.0,8242
